From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),PubMed ID
RYR1,P21817,reviewed,RYR1_HUMAN,Ryanodine receptor 1 (RYR-1) (RyR1) (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-type ryanodine receptor) (Type 1 ryanodine receptor),RYR1 RYDR,Homo sapiens (Human),5038,cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; extracellular exosome [GO:0070062]; I band [GO:0031674]; junctional sarcoplasmic reticulum membrane [GO:0014701]; organelle membrane [GO:0031090]; plasma membrane [GO:0005886]; ryanodine receptor complex [GO:1990425]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; sarcoplasmic reticulum membrane [GO:0033017]; smooth endoplasmic reticulum [GO:0005790]; terminal cisterna [GO:0014802]; Z disc [GO:0030018]; ATP binding [GO:0005524]; calcium channel activity [GO:0005262]; calcium ion binding [GO:0005509]; calcium-induced calcium release activity [GO:0048763]; calcium-release channel activity [GO:0015278]; calmodulin binding [GO:0005516]; ryanodine-sensitive calcium-release channel activity [GO:0005219]; voltage-gated calcium channel activity [GO:0005245]; calcium ion transport [GO:0006816]; cellular response to caffeine [GO:0071313]; cellular response to calcium ion [GO:0071277]; muscle contraction [GO:0006936]; ossification involved in bone maturation [GO:0043931]; outflow tract morphogenesis [GO:0003151]; protein homotetramerization [GO:0051289]; regulation of cytosolic calcium ion concentration [GO:0051480]; release of sequestered calcium ion into cytosol [GO:0051209]; release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0014808]; response to caffeine [GO:0031000]; response to hypoxia [GO:0001666]; skeletal muscle fiber development [GO:0048741]; skin development [GO:0043588],calcium ion transport [GO:0006816]; cellular response to caffeine [GO:0071313]; cellular response to calcium ion [GO:0071277]; muscle contraction [GO:0006936]; ossification involved in bone maturation [GO:0043931]; outflow tract morphogenesis [GO:0003151]; protein homotetramerization [GO:0051289]; regulation of cytosolic calcium ion concentration [GO:0051480]; release of sequestered calcium ion into cytosol [GO:0051209]; release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0014808]; response to caffeine [GO:0031000]; response to hypoxia [GO:0001666]; skeletal muscle fiber development [GO:0048741]; skin development [GO:0043588],cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; extracellular exosome [GO:0070062]; I band [GO:0031674]; junctional sarcoplasmic reticulum membrane [GO:0014701]; organelle membrane [GO:0031090]; plasma membrane [GO:0005886]; ryanodine receptor complex [GO:1990425]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; sarcoplasmic reticulum membrane [GO:0033017]; smooth endoplasmic reticulum [GO:0005790]; terminal cisterna [GO:0014802]; Z disc [GO:0030018],ATP binding [GO:0005524]; calcium channel activity [GO:0005262]; calcium ion binding [GO:0005509]; calcium-induced calcium release activity [GO:0048763]; calcium-release channel activity [GO:0015278]; calmodulin binding [GO:0005516]; ryanodine-sensitive calcium-release channel activity [GO:0005219]; voltage-gated calcium channel activity [GO:0005245],2298749; 1354642; 8220422; 8661021; 15057824; 1639409; 1774074; 7751854; 7556644; 9607712; 18650434; 18765655; 18268335; 18318008; 20961976; 21514828; 22752422; 27918309; 8220423; 7829078; 8012359; 7849712; 7881417; 9066328; 9389851; 9138151; 9497245; 9450902; 10484775; 10051009; 10097181; 10823104; 10888602; 10612851; 11113224; 11389482; 11575529; 11709545; 11741831; 11241852; 11525881; 12059893; 12411788; 12112081; 12066726; 12208234; 12123492; 11928716; 12136074; 12883402; 14670767; 12937085; 12709367; 12566385; 12719381; 12565913; 15448513; 14732627; 14985404; 15221887; 16163667; 16380615; 17204054; 17226826; 18312400; 18253926; 19191329; 19685112; 20142353; 20583297; 20681998; 21674524; 24013571; 23558838; 24561095; 26381711; 26115329; 27586648; 26631338; 27616680; 27234031
LSG1,Q9H089,reviewed,LSG1_HUMAN,Large subunit GTPase 1 homolog (hLsg1) (EC 3.6.1.-),LSG1,Homo sapiens (Human),658,Cajal body [GO:0015030]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; nuclear export [GO:0051168]; protein transport [GO:0015031]; ribosomal subunit export from nucleus [GO:0000054],nuclear export [GO:0051168]; protein transport [GO:0015031]; ribosomal subunit export from nucleus [GO:0000054],Cajal body [GO:0015030]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654],GTP binding [GO:0005525]; GTPase activity [GO:0003924],11230166; 16641997; 15489334; 14702039; 16209721; 18669648; 21269460; 23186163
CREB3L1,Q96BA8,reviewed,CR3L1_HUMAN,Cyclic AMP-responsive element-binding protein 3-like protein 1 (cAMP-responsive element-binding protein 3-like protein 1) (Old astrocyte specifically-induced substance) (OASIS) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 1],CREB3L1 OASIS PSEC0238,Homo sapiens (Human),519,"chromatin [GO:0000785]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; nucleus [GO:0005634]; cAMP response element binding [GO:0035497]; chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; sequence-specific double-stranded DNA binding [GO:1990837]; SMAD binding [GO:0046332]; transcription cis-regulatory region binding [GO:0000976]; endoplasmic reticulum unfolded protein response [GO:0030968]; extracellular matrix constituent secretion [GO:0070278]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of fibroblast growth factor receptor signaling pathway [GO:0040037]; negative regulation of gene expression [GO:0010629]; negative regulation of sprouting angiogenesis [GO:1903671]; osteoblast differentiation [GO:0001649]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]; regulation of transcription by RNA polymerase II [GO:0006357]",endoplasmic reticulum unfolded protein response [GO:0030968]; extracellular matrix constituent secretion [GO:0070278]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of fibroblast growth factor receptor signaling pathway [GO:0040037]; negative regulation of gene expression [GO:0010629]; negative regulation of sprouting angiogenesis [GO:1903671]; osteoblast differentiation [GO:0001649]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]; regulation of transcription by RNA polymerase II [GO:0006357],chromatin [GO:0000785]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; nucleus [GO:0005634],"cAMP response element binding [GO:0035497]; chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; sequence-specific double-stranded DNA binding [GO:1990837]; SMAD binding [GO:0046332]; transcription cis-regulatory region binding [GO:0000976]",12054625; 15489334; 14702039; 16417584; 21767813; 22705851; 25310401; 27499293; 24079343; 28112733
C11orf1,Q9H5F2,reviewed,CK001_HUMAN,UPF0686 protein C11orf1,C11orf1,Homo sapiens (Human),150,nucleoplasm [GO:0005654],,nucleoplasm [GO:0005654],,10873569; 14702039; 15489334
SCD,O00767,reviewed,SCD_HUMAN,Stearoyl-CoA desaturase (hSCD1) (EC 1.14.19.1) (Acyl-CoA desaturase) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase),SCD FADS5 SCD1 SCDOS,Homo sapiens (Human),359,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; nucleolus [GO:0005730]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; palmitoyl-CoA 9-desaturase activity [GO:0032896]; stearoyl-CoA 9-desaturase activity [GO:0004768]; monounsaturated fatty acid biosynthetic process [GO:1903966]; positive regulation of cold-induced thermogenesis [GO:0120162]; response to fatty acid [GO:0070542]; unsaturated fatty acid biosynthetic process [GO:0006636],monounsaturated fatty acid biosynthetic process [GO:1903966]; positive regulation of cold-induced thermogenesis [GO:0120162]; response to fatty acid [GO:0070542]; unsaturated fatty acid biosynthetic process [GO:0006636],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; nucleolus [GO:0005730],iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; palmitoyl-CoA 9-desaturase activity [GO:0032896]; stearoyl-CoA 9-desaturase activity [GO:0004768],10229681; 14702039; 15164054; 15489334; 11415448; 19892738; 7909540; 15907797; 15610069; 18691976; 18669648; 18765284; 21269460; 21406692; 23186163; 26098317
IFT27,Q9BW83,reviewed,IFT27_HUMAN,Intraflagellar transport protein 27 homolog (Putative GTP-binding protein RAY-like) (Rab-like protein 4),IFT27 RABL4 RAYL,Homo sapiens (Human),186,centrosome [GO:0005813]; ciliary tip [GO:0097542]; cilium [GO:0005929]; cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intraciliary transport particle B [GO:0030992]; motile cilium [GO:0031514]; nucleus [GO:0005634]; sperm flagellum [GO:0036126]; sperm midpiece [GO:0097225]; sperm principal piece [GO:0097228]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; cilium assembly [GO:0060271]; cochlea development [GO:0090102]; inner ear receptor cell stereocilium organization [GO:0060122]; intracellular protein transport [GO:0006886]; intraciliary anterograde transport [GO:0035720]; intraciliary transport [GO:0042073]; kidney development [GO:0001822]; smoothened signaling pathway [GO:0007224]; spermatogenesis [GO:0007283]; vesicle-mediated transport [GO:0016192],cilium assembly [GO:0060271]; cochlea development [GO:0090102]; inner ear receptor cell stereocilium organization [GO:0060122]; intracellular protein transport [GO:0006886]; intraciliary anterograde transport [GO:0035720]; intraciliary transport [GO:0042073]; kidney development [GO:0001822]; smoothened signaling pathway [GO:0007224]; spermatogenesis [GO:0007283]; vesicle-mediated transport [GO:0016192],centrosome [GO:0005813]; ciliary tip [GO:0097542]; cilium [GO:0005929]; cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intraciliary transport particle B [GO:0030992]; motile cilium [GO:0031514]; nucleus [GO:0005634]; sperm flagellum [GO:0036126]; sperm midpiece [GO:0097225]; sperm principal piece [GO:0097228],GTP binding [GO:0005525]; GTPase activity [GO:0003924],12529303; 15461802; 10591208; 15489334; 21269460; 24488770; 25443296
ALS2CL,Q60I27,reviewed,AL2CL_HUMAN,ALS2 C-terminal-like protein,ALS2CL,Homo sapiens (Human),953,cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; GTPase activator activity [GO:0005096]; guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase binding [GO:0031267]; endosomal transport [GO:0016197]; endosome organization [GO:0007032]; regulation of GTPase activity [GO:0043087],endosomal transport [GO:0016197]; endosome organization [GO:0007032]; regulation of GTPase activity [GO:0043087],cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231],GTPase activator activity [GO:0005096]; guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase binding [GO:0031267],15388334; 14702039; 16641997; 15489334; 17974005; 16473597; 17239822; 16959974
HJURP,Q8NCD3,reviewed,HJURP_HUMAN,Holliday junction recognition protein (14-3-3-associated AKT substrate) (Fetal liver-expressing gene 1 protein) (Up-regulated in lung cancer 9),HJURP FAKTS FLEG1 URLC9,Homo sapiens (Human),748,"chromosome, centromeric region [GO:0000775]; kinetochore [GO:0000776]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; DNA binding [GO:0003677]; histone binding [GO:0042393]; identical protein binding [GO:0042802]; cell cycle [GO:0007049]; CENP-A containing chromatin assembly [GO:0034080]; chromosome segregation [GO:0007059]; regulation of DNA binding [GO:0051101]; regulation of protein-containing complex assembly [GO:0043254]",cell cycle [GO:0007049]; CENP-A containing chromatin assembly [GO:0034080]; chromosome segregation [GO:0007059]; regulation of DNA binding [GO:0051101]; regulation of protein-containing complex assembly [GO:0043254],"chromosome, centromeric region [GO:0000775]; kinetochore [GO:0000776]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]",DNA binding [GO:0003677]; histone binding [GO:0042393]; identical protein binding [GO:0042802],17823411; 14702039; 15815621; 15489334; 17974005; 16964243; 16622419; 17256767; 18220336; 18691976; 18669648; 19413330; 19410544; 19410545; 19369195; 19690332; 20068231; 21406692; 23186163; 27499292; 28112733; 21478274
MIP,P30301,reviewed,MIP_HUMAN,Lens fiber major intrinsic protein (Aquaporin-0) (MIP26) (MP26),MIP AQP0,Homo sapiens (Human),263,apical plasma membrane [GO:0016324]; endoplasmic reticulum [GO:0005783]; gap junction [GO:0005921]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calmodulin binding [GO:0005516]; structural constituent of eye lens [GO:0005212]; water channel activity [GO:0015250]; gap junction-mediated intercellular transport [GO:1990349]; lens development in camera-type eye [GO:0002088]; positive regulation of cell adhesion [GO:0045785]; protein homotetramerization [GO:0051289]; response to stimulus [GO:0050896]; visual perception [GO:0007601]; water transport [GO:0006833],gap junction-mediated intercellular transport [GO:1990349]; lens development in camera-type eye [GO:0002088]; positive regulation of cell adhesion [GO:0045785]; protein homotetramerization [GO:0051289]; response to stimulus [GO:0050896]; visual perception [GO:0007601]; water transport [GO:0006833],apical plasma membrane [GO:0016324]; endoplasmic reticulum [GO:0005783]; gap junction [GO:0005921]; membrane [GO:0016020]; plasma membrane [GO:0005886],calmodulin binding [GO:0005516]; structural constituent of eye lens [GO:0005212]; water channel activity [GO:0015250],1840563; 16541075; 15489334; 10634618; 10802646; 16564824; 27378310; 30790544; 11001937; 17893667; 17960133; 20361015; 21245956; 23116563; 24120416; 25946197; 28839118; 29914532
TFPT,P0C1Z6,reviewed,TFPT_HUMAN,TCF3 fusion partner (INO80 complex subunit F) (Protein FB1),TFPT INO80F,Homo sapiens (Human),253,actin filament [GO:0005884]; cytoplasm [GO:0005737]; Ino80 complex [GO:0031011]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein kinase binding [GO:0019901]; protein-containing complex binding [GO:0044877]; apoptotic signaling pathway [GO:0097190]; chromatin remodeling [GO:0006338]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; male gonad development [GO:0008584]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of telomere maintenance in response to DNA damage [GO:1904507]; regulation of cell cycle [GO:0051726]; regulation of chromosome organization [GO:0033044]; regulation of DNA repair [GO:0006282]; regulation of DNA replication [GO:0006275]; regulation of DNA strand elongation [GO:0060382]; regulation of embryonic development [GO:0045995]; telomere maintenance [GO:0000723],apoptotic signaling pathway [GO:0097190]; chromatin remodeling [GO:0006338]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; male gonad development [GO:0008584]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of telomere maintenance in response to DNA damage [GO:1904507]; regulation of cell cycle [GO:0051726]; regulation of chromosome organization [GO:0033044]; regulation of DNA repair [GO:0006282]; regulation of DNA replication [GO:0006275]; regulation of DNA strand elongation [GO:0060382]; regulation of embryonic development [GO:0045995]; telomere maintenance [GO:0000723],actin filament [GO:0005884]; cytoplasm [GO:0005737]; Ino80 complex [GO:0031011]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],DNA binding [GO:0003677]; protein kinase binding [GO:0019901]; protein-containing complex binding [GO:0044877],10086727; 15057824; 15489334; 16230350; 17041757; 17081983; 18220336; 18922472; 18669648; 19413330; 20068231; 21303910; 21406692; 23186163; 24275569; 28112733
KLHDC7B,Q96G42,reviewed,KLD7B_HUMAN,Kelch domain-containing protein 7B,KLHDC7B,Homo sapiens (Human),594,,,,,10591208; 15489334
