From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs	PubMed ID
KCNMA1	A0A087WZL8	unreviewed	A0A087WZL8_HUMAN	Calcium-activated potassium channel subunit alpha-1	KCNMA1	Homo sapiens (Human)	213		membrane [GO:0016020]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0016020; GO:0060072	15164054
KCNMA1	A0A0A0MRC3	unreviewed	A0A0A0MRC3_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1071		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A0A0MRR0	unreviewed	A0A0A0MRR0_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1233		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A0A0MSE6	unreviewed	A0A0A0MSE6_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1142		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1B0GWD4	unreviewed	A0A1B0GWD4_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	459		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PNG1	unreviewed	A0A1W2PNG1_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1146		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PNH9	unreviewed	A0A1W2PNH9_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1181		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PNN5	unreviewed	A0A1W2PNN5_HUMAN	Calcium-activated potassium channel subunit alpha-1	KCNMA1	Homo sapiens (Human)	154		membrane [GO:0016020]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0016020; GO:0060072	15164054
KCNMA1	A0A1W2PNN6	unreviewed	A0A1W2PNN6_HUMAN	Calcium-activated potassium channel subunit alpha-1	KCNMA1	Homo sapiens (Human)	100		large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0060072	15164054
KCNMA1	A0A1W2PNQ3	unreviewed	A0A1W2PNQ3_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1177		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PNW6	unreviewed	A0A1W2PNW6_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1230		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PNX9	unreviewed	A0A1W2PNX9_HUMAN	Calcium-activated potassium channel subunit alpha-1	KCNMA1	Homo sapiens (Human)	575		large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0060072	15164054
KCNMA1	A0A1W2PNY7	unreviewed	A0A1W2PNY7_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1161		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PNY8	unreviewed	A0A1W2PNY8_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1020		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PNY9	unreviewed	A0A1W2PNY9_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1233		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PP06	unreviewed	A0A1W2PP06_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1223		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PP26	unreviewed	A0A1W2PP26_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1198		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PP37	unreviewed	A0A1W2PP37_HUMAN	Calcium-activated potassium channel subunit alpha-1	KCNMA1	Homo sapiens (Human)	99		membrane [GO:0016020]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0016020; GO:0060072	15164054
KCNMA1	A0A1W2PP76	unreviewed	A0A1W2PP76_HUMAN	Calcium-activated potassium channel subunit alpha-1	KCNMA1	Homo sapiens (Human)	30				15164054
KCNMA1	A0A1W2PP94	unreviewed	A0A1W2PP94_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1181		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PPH9	unreviewed	A0A1W2PPH9_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1175		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PPQ3	unreviewed	A0A1W2PPQ3_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1178		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PPS2	unreviewed	A0A1W2PPS2_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1122		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PPT7	unreviewed	A0A1W2PPT7_HUMAN	Calcium-activated potassium channel subunit alpha-1	KCNMA1	Homo sapiens (Human)	422		membrane [GO:0016020]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0016020; GO:0060072	15164054
KCNMA1	A0A1W2PPX7	unreviewed	A0A1W2PPX7_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1242		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PPY5	unreviewed	A0A1W2PPY5_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1230		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PPZ1	unreviewed	A0A1W2PPZ1_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1238		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PQ39	unreviewed	A0A1W2PQ39_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	583		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PQ53	unreviewed	A0A1W2PQ53_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1115		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PQ61	unreviewed	A0A1W2PQ61_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1181		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PQ93	unreviewed	A0A1W2PQ93_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1197		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PQA0	unreviewed	A0A1W2PQA0_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1234		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PQJ9	unreviewed	A0A1W2PQJ9_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1119		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PQK5	unreviewed	A0A1W2PQK5_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1177		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PQR1	unreviewed	A0A1W2PQR1_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	584		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PQU4	unreviewed	A0A1W2PQU4_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1178		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PQZ4	unreviewed	A0A1W2PQZ4_HUMAN	Calcium-activated potassium channel subunit alpha-1	KCNMA1	Homo sapiens (Human)	357		membrane [GO:0016020]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0016020; GO:0060072	15164054
KCNMA1	A0A1W2PQZ8	unreviewed	A0A1W2PQZ8_HUMAN	Calcium-activated potassium channel subunit alpha-1	KCNMA1	Homo sapiens (Human)	403		membrane [GO:0016020]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0016020; GO:0060072	15164054
KCNMA1	A0A1W2PR56	unreviewed	A0A1W2PR56_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1212		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PR62	unreviewed	A0A1W2PR62_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1236		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PRA7	unreviewed	A0A1W2PRA7_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	964		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PRB0	unreviewed	A0A1W2PRB0_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1234		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PRC3	unreviewed	A0A1W2PRC3_HUMAN	Calcium-activated potassium channel subunit alpha-1	KCNMA1	Homo sapiens (Human)	97		membrane [GO:0016020]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0016020; GO:0060072	15164054
KCNMA1	A0A1W2PRE5	unreviewed	A0A1W2PRE5_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1185		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PRF1	unreviewed	A0A1W2PRF1_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	91		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PRG5	unreviewed	A0A1W2PRG5_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1208		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PRJ1	unreviewed	A0A1W2PRJ1_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	977		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PRN5	unreviewed	A0A1W2PRN5_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1239		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PRT6	unreviewed	A0A1W2PRT6_HUMAN	Calcium-activated potassium channel subunit alpha-1	KCNMA1	Homo sapiens (Human)	383		membrane [GO:0016020]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0016020; GO:0060072	15164054
KCNMA1	A0A1W2PRV4	unreviewed	A0A1W2PRV4_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1246		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PRX6	unreviewed	A0A1W2PRX6_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1196		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PS54	unreviewed	A0A1W2PS54_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	190		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PS97	unreviewed	A0A1W2PS97_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1142		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	A0A1W2PSA7	unreviewed	A0A1W2PSA7_HUMAN	Calcium-activated potassium channel subunit alpha-1	KCNMA1	Homo sapiens (Human)	78		membrane [GO:0016020]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0016020; GO:0060072	15164054
KCNMA1	A0A1W2PSD3	unreviewed	A0A1W2PSD3_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1178		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	B7ZMF5	unreviewed	B7ZMF5_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1208		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15489334; 15164054
KCNMA1	D5MRH1	unreviewed	D5MRH1_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1128		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	H0Y379	unreviewed	H0Y379_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1192		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	H0Y382	unreviewed	H0Y382_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1182		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	H0Y406	unreviewed	H0Y406_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	208		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	J3KQ16	unreviewed	J3KQ16_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1040		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	Q5SVJ7	unreviewed	Q5SVJ7_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1209		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
KCNMA1	Q5SVJ8	unreviewed	Q5SVJ8_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha) (Slo1) (Slowpoke homolog)	KCNMA1	Homo sapiens (Human)	1288		plasma membrane [GO:0005886]; large conductance calcium-activated potassium channel activity [GO:0060072]	GO:0005886; GO:0060072	15164054
